status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
"current","Robert S Miller, LICSW, ACSW, PLLC",902,"12/13/2022","","Laptop","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Sleep Center Hawaii",5396,"12/12/2022","","Email","HI","Healthcare Provider","Hacking/IT Incident","No"
"current","KEMET Electronics Medical/Dental/EAP",2927,"12/09/2022","","Network Server","FL","Health Plan","Hacking/IT Incident","No"
"current","Pediatrics West, P.C.",1364,"12/09/2022","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Rhode Island Department of Health",8800,"12/07/2022","","Email","RI","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","Blakehurst",1047,"12/06/2022","","Email","MD","Healthcare Provider","Hacking/IT Incident","No"
"current","Emory Healthcare",1891,"12/06/2022","","Electronic Medical Record","GA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Employee Group Insurance Benefits Plan of Acuity Brands, Inc.",20849,"12/06/2022","","Network Server","GA","Health Plan","Hacking/IT Incident","No"
"current","Polsinelli PC",1220,"12/02/2022","","Network Server","MO","Business Associate","Hacking/IT Incident","Yes"
"current","NYC Health + Hospitals",2174,"12/02/2022","","Other Portable Electronic Device","NY","Healthcare Provider","Loss","No"
"current","CommonSpirit Health",623774,"12/01/2022","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Keck Medicine of USC",2200,"11/29/2022","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Dallam Hartley Counties Hospital District",69835,"11/23/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Compton & Broomhead Dental Center",1307,"11/23/2022","","Email","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Mena Regional Health System",84814,"11/22/2022","","Network Server","AR","Healthcare Provider","Hacking/IT Incident","No"
"current","Hope Health Systems Inc.",9972,"11/21/2022","","Electronic Medical Record","MD","Healthcare Provider","Hacking/IT Incident","No"
"current","Orlando Health",3662,"11/18/2022","","Email","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Wright & Filippis LLC",877584,"11/18/2022","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Gateway Rehabilitation Center",130000,"11/18/2022","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","University Medical Center of Southern Nevada",1861,"11/17/2022","","Electronic Medical Record","NV","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","CONSUMER DIRECTED SERVICES IN TEXAS, INC.",56728,"11/17/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Innovative Service Technology Management Services, Inc. ",2654,"11/17/2022","","Network Server","GA","Health Plan","Hacking/IT Incident","No"
"current","South Walton Fire District",25331,"11/15/2022","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Docs Medical Inc",3146,"11/15/2022","","Network Server","CT","Healthcare Provider","Hacking/IT Incident","No"
"current","Epic Management LLC",10862,"11/14/2022","","Email","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","Health Care Management Solutions, LLC",500000,"11/14/2022","","Network Server","WV","Business Associate","Hacking/IT Incident","Yes"
"current","Yale University",9051,"11/11/2022","","Network Server","CT","Healthcare Provider","Hacking/IT Incident","No"
"current","NewYork-Presbyterian Hospital",12000,"11/11/2022","","Laptop","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Stanley Street Treatment and Resources, Inc. ",45785,"11/11/2022","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Connexin Software, Inc.",2675934,"11/11/2022","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Doctors' Center Hospital",1195220,"11/09/2022","","Network Server","","Healthcare Provider","Hacking/IT Incident","No"
"current","Heartland Alliance ",46694,"11/08/2022","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Eastside Pediatrics, PLLC",1723,"11/08/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","The Stern Cardiovascular Foundation, Inc.",501,"11/05/2022","","Network Server","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","OCEANVIEWS OPTICAL INC",2000,"11/03/2022","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Pinnacle Claims Management, Inc.",2048,"11/03/2022","","Network Server","CA","Business Associate","Hacking/IT Incident","Yes"
"current","TIC International Corporation (“TIC”)",1362,"11/01/2022","","Network Server","IN","Business Associate","Hacking/IT Incident","Yes"
"current","CorrectCare Integrated Health, Inc.",4380,"10/31/2022","","Network Server","KY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","CorrectCare Integrated Health, Inc.",438713,"10/31/2022","","Network Server","KY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Alta Forest Products Health and Welfare Plan",2100,"10/31/2022","","Network Server","WA","Health Plan","Hacking/IT Incident","No"
"current","Heart of Florida Health Center, Inc.",721,"10/31/2022","","Network Server","FL","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","The Psychology Center",3614,"10/31/2022","","Network Server","WI","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Louisiana Department of Public Safety and Corrections",85466,"10/31/2022","","Network Server","LA","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York",21544,"10/31/2022","","Email","NY","Health Plan","Hacking/IT Incident","No"
"current","St Luke's Health - Texas",16906,"10/30/2022","","Email","TX","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Assurance Health System, LLC",3565,"10/28/2022","","Email","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","SightCare, Inc.",637999,"10/28/2022","","Network Server","AZ","Health Plan","Hacking/IT Incident","Yes"
"current","Nationwide Optometry, PC",73073,"10/28/2022","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","Yes"
"current","State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services",3900,"10/27/2022","","Email","NJ","Health Plan","Unauthorized Access/Disclosure","No"
"current","University of Michigan/Michigan Medicine",33857,"10/25/2022","","Email","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Coastal Horizons Center Inc.",679,"10/25/2022","","Electronic Medical Record","NC","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Somnia, Inc.",1326,"10/24/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Somnia Pain Mgt of Kentucky",10848,"10/24/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ",480435,"10/21/2022","","Network Server","IL","Health Plan","Hacking/IT Incident","No"
"current","Phoenix Programs of Florida, Inc.",6594,"10/21/2022","","Email","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Dr. Scott B. Klimaj, DMD",1558,"10/21/2022","","Network Server","RI","Healthcare Provider","Hacking/IT Incident","No"
"current","Wenco Management, LLC Health and Welfare Benefit Plan",20526,"10/20/2022","","Network Server","OH","Health Plan","Hacking/IT Incident","No"
"current","Pynenberg & Scheske DDS,SC ",2612,"10/20/2022","","Network Server","WI","Healthcare Provider","Hacking/IT Incident","No"
"current","Sigmund Software, LLC ",983,"10/20/2022","","Network Server","CT","Business Associate","Hacking/IT Incident","Yes"
"current","Lifeline Systems Company",500,"10/16/2022","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Friend Family Health Center, Inc.",1419,"10/14/2022","","Email","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Alain A. Montiel, DDS",17157,"10/14/2022","","Laptop","CA","Healthcare Provider","Theft","No"
"current","Blue Cross and Blue Shield of Kansas",1308,"10/14/2022","","Network Server","KS","Health Plan","Hacking/IT Incident","No"
"current","WakeMed Health and Hospitals",495808,"10/14/2022","","Network Server","NC","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Springfield Clinic",802,"10/14/2022","","Other Portable Electronic Device","IL","Healthcare Provider","Loss","No"
"current","HH/Killeen Health System, LLC doing business as Seton Medical Center Harker Heights",15056,"10/14/2022","","Email","TX","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Ascension St. Vincent’s Coastal Cardiology",71227,"10/14/2022","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","The Valley Hospital",4245,"10/14/2022","","Paper/Films","NJ","Healthcare Provider","Improper Disposal","No"
"current","Keystone Health",235237,"10/14/2022","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Premier Physical Therapy and Sports Performance, Limited Partnership",982,"10/12/2022","","Email","DE","Healthcare Provider","Hacking/IT Incident","No"
"current","Sage Counseling Omaha",1359,"10/12/2022","","Electronic Medical Record","NE","Healthcare Provider","Theft","No"
"current","Defense Health Headquarters",1279,"10/12/2022","","Network Server","VA","Health Plan","Hacking/IT Incident","No"
"current","Aesthetic Dermatology Associates, PC",33793,"10/10/2022","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Regional Women’s Health Group, LLC",804,"10/10/2022","","Other Portable Electronic Device","NJ","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Lifespire Services, Inc.",15375,"10/07/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas",1500,"10/07/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Urology of Greater Atlanta, LLC",79795,"10/07/2022","","Network Server, Other","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","Wisconsin Department of Health Services",12358,"10/07/2022","","Email","WI","Health Plan","Unauthorized Access/Disclosure","No"
"current","Berkshire Farm Center & Services for Youth",951,"10/06/2022","","Email","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Valle del Sol, Inc.",70268,"10/05/2022","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","Family Medicine Shady Grove LLC",6482,"10/03/2022","","Network Server","MD","Healthcare Provider","Hacking/IT Incident","No"
"current","VisionWeb Holdings, LLC",35900,"10/03/2022","","Email","TX","Business Associate","Hacking/IT Incident","Yes"
"current","Monroe Ear Nose and Throat Associates, PC",14500,"09/30/2022","","Electronic Medical Record, Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Anthem ACE",13406,"09/30/2022","","Network Server","IN","Health Plan","Unauthorized Access/Disclosure","Yes"
"current","Anthem Health Plans of Kentucky, Incorporated",537,"09/29/2022","","Other Portable Electronic Device","IN","Business Associate","Theft","Yes"
"current","Smith, Gambrell & Russell, LLP",4688,"09/28/2022","","Network Server","GA","Business Associate","Hacking/IT Incident","Yes"
"current","Reid and Riege, P.C.",610,"09/28/2022","","Network Server","CT","Business Associate","Hacking/IT Incident","Yes"
"current","McPherson Hospital, Inc.",19020,"09/26/2022","","Network Server","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","Extended MLTC",5494,"09/26/2022","","Network Server","NY","Health Plan","Hacking/IT Incident","Yes"
"current","Montefiore Medical Center",1332,"09/23/2022","","Other Portable Electronic Device","NY","Healthcare Provider","Theft","No"
"current","FMC Services, LLC",233948,"09/23/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Grayling Anesthesia Associates PC",15378,"09/23/2022","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Cynthia Paul, M.D., LLC d/b/a The Coeur Group",2020,"09/23/2022","","Email","NE","Healthcare Provider","Hacking/IT Incident","No"
"current","WellMed Medical Management",10506,"09/23/2022","","Electronic Medical Record, Network Server","TX","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Physician’s Business Office, Inc.",196673,"09/23/2022","","Network Server","WV","Business Associate","Hacking/IT Incident","Yes"
"current","Dyersburg Family Walk-In Clinic, LLC (d/b/a Reelfoot Family Walk-In Clinic)",58562,"09/23/2022","","Network Server","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","Bloomington Meadows Hospital",788,"09/23/2022","","Email","IN","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","UW Medicine",3804,"09/21/2022","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Berkshire Farm Center & Services for Youth  ",23058,"09/16/2022","","Network Server","NY","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Landmark Management Services",501,"09/15/2022","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Centerstone of Tennessee, Inc.",3675,"09/12/2022","","Email","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","SERV Behavioral Health Systems, Inc.",8110,"09/09/2022","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS",983,"09/09/2022","","Network Server","TN","Health Plan","Hacking/IT Incident","Yes"
"current","The Sargent’s Group",1650,"09/09/2022","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Medical Associates of the Lehigh Valley",75628,"09/09/2022","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Independent Living Systems, LLC",501,"09/02/2022","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Narragansett Bay Commission",2153,"09/01/2022","","Network Server","RI","Healthcare Provider","Hacking/IT Incident","No"
"current","Walgreen Co.",1704,"08/31/2022","","Paper/Films","IL","Healthcare Provider","Theft","No"
"current","Trinity Health ",5738,"08/29/2022","","Network Server","MI","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","NYSARC Columbia County Chapter d/b/a COARC",5701,"08/29/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Methodist McKinney Hospital",110244,"08/26/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Methodist Craig Ranch Surgical Center",15157,"08/26/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","General Health System",46149,"08/25/2022","","Network Server","LA","Healthcare Provider","Hacking/IT Incident","No"
"current","Farmville Internal Medicine",3000,"08/25/2022","","Electronic Medical Record, Network Server","NC","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Community Bridges",10461,"08/24/2022","","Network Server","NH","Healthcare Provider","Hacking/IT Incident","No"
"current","Warner Norcross and Judd, LLP",255160,"08/24/2022","","Network Server","MI","Business Associate","Hacking/IT Incident","Yes"
"current","San Diego American Indian Health Center",27367,"08/15/2022","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","AdventHealth Medical Group OB GYN at Woodridge",2001,"08/15/2022","","Other Portable Electronic Device","IL","Healthcare Provider","Loss","No"
"current","Priti Patel Physician PC",6877,"08/14/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Valley Baptist Medical Center – Harlingen",11137,"08/12/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Valley Baptist Medical Center - Brownsville",7496,"08/12/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Specialized Treatment Facility",1059,"08/12/2022","","Email","MS","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Rock County Human Services Department",25610,"08/12/2022","","Email","WI","Healthcare Provider","Hacking/IT Incident","No"
"current","DataStat, Inc.",1650,"08/08/2022","","Paper/Films","MI","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Maternal and Family Health Services",500,"08/08/2022","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Inline Network Integration, LLC",500,"08/05/2022","","Network Server","TX","Business Associate","Hacking/IT Incident","Yes"
"current","Living Innovations",4000,"08/05/2022","","Email","NH","Healthcare Provider","Hacking/IT Incident","No"
"current","Centerstone of Indiana, Inc.",1700,"08/04/2022","","Email","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Practice Resources, LLC",942138,"08/04/2022","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Independent Case Management, INC.",3307,"08/03/2022","","Network Server","AR","Healthcare Provider","Hacking/IT Incident","No"
"current","Eventus WholeHealth PLLC",1707,"07/29/2022","","Email","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Healthback Holdings, LLC ",21114,"07/29/2022","","Email","OK","Healthcare Provider","Hacking/IT Incident","No"
"current","Minuteman Senior Services",4000,"07/29/2022","","Email","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","OneTouchPoint, Inc.",4112892,"07/27/2022","","Network Server","WI","Business Associate","Hacking/IT Incident","Yes"
"current","BHG Holdings, LLC dba Behavioral Health Group",197507,"07/27/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Dr. Manaf Ahmad",3717,"07/26/2022","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Allegheny Heath Network",8071,"07/26/2022","","Email","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Lawson Products, Inc.",791,"07/26/2022","","Network Server","IL","Health Plan","Hacking/IT Incident","No"
"current","Santa Rosa County District Schools",9424,"07/25/2022","","Network Server","FL","Health Plan","Unauthorized Access/Disclosure","No"
"current","Scott County, Iowa",1583,"07/25/2022","","Email","IA","Business Associate","Hacking/IT Incident","Yes"
"current","NuLife Med, LLC",3805,"07/25/2022","","Network Server","NH","Business Associate","Hacking/IT Incident","Yes"
"current","dormant see master file 489659_ Benefit Plan Administrators, Inc. ",1457,"07/25/2022","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","Center for Primary Care",2400,"07/25/2022","","Email","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","Radiation Oncology Centers of the Carolinas",1116,"07/25/2022","","Email","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Benefit Plan Administrators, Inc. ",5004,"07/22/2022","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","City of Newport, Rhode Island",6109,"07/22/2022","","Network Server","RI","Health Plan","Hacking/IT Incident","No"
"current","Patriot Growth Insurance Services, LLC",4614,"07/21/2022","","Email","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Central Maine Medical Center",11938,"07/21/2022","","Network Server","ME","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Cavender Stores, Ltd Health Plan",4447,"07/20/2022","","Network Server","TX","Health Plan","Hacking/IT Incident","No"
"current","Dow Rummel Village",1079,"07/20/2022","","Email","SD","Healthcare Provider","Hacking/IT Incident","No"
"current","Zenith American Solutions",37146,"07/20/2022","","Paper/Films","WA","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Goodman Campbell Brain and Spine",362833,"07/19/2022","","Network Server","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","ProMedica",1178,"07/19/2022","","Email","OH","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Acts Retirement Services, Inc. and Affiliates",2236,"07/15/2022","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ",1201,"07/15/2022","","Laptop","NH","Healthcare Provider","Loss","No"
"current","Benson Health",28913,"07/15/2022","","Network Server","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Washington University School of Medicine",1056,"07/14/2022","","Network Server","MO","Healthcare Provider","Hacking/IT Incident","No"
"current","Family Practice Center PC",83969,"07/11/2022","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","dormant see master file 489659_ Benefit Plan Administrators, Inc. ",878,"07/08/2022","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","Cornerstone Services",2513,"07/08/2022","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Wisconsin Department of Health Services",1698,"07/08/2022","","Network Server","WI","Health Plan","Hacking/IT Incident","Yes"
"current","dormant see master file 489659_ Benefit Plan Administrators, Inc. ",1089,"07/08/2022","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","Southwest Health Center",46142,"07/05/2022","","Network Server","WI","Healthcare Provider","Hacking/IT Incident","No"
"current","Cheyenne Regional Medical Center ",1652,"07/05/2022","","Desktop Computer, Electronic Medical Record","WY","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Carolina Behavioral Health Alliance, LLC",130922,"07/01/2022","","Network Server","NC","Business Associate","Hacking/IT Incident","Yes"
"current","CHRISTUS Spohn Health System Corporation",15062,"07/01/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Professional Finance Company, Inc.",1918941,"07/01/2022","","Network Server","CO","Business Associate","Hacking/IT Incident","Yes"
"current","Michigan Avenue Immediate Care",144104,"06/30/2022","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","OrthoWest, PC",1369,"06/30/2022","","Email","NE","Healthcare Provider","Hacking/IT Incident","No"
"current","dormant see master file 489659_ Benefit Plan Administrators, Inc.",628,"06/30/2022","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","dormant see master file 489659_ Benefit Plan Administrators, Inc. ",1145,"06/29/2022","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","Mattax Neu Prater Eye Center, Inc.",92361,"06/28/2022","","Electronic Medical Record","MO","Healthcare Provider","Hacking/IT Incident","Yes"
"current","dormant see master file 489659_ Benefit Plan Administrators, Inc. ",735,"06/27/2022","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","dormant see master file 489659_ Benefit Plan Administrators, Inc. ",1267,"06/27/2022","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","Hudson Regional Hospital",1300,"06/22/2022","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Winslow Memorial Hospital d/b/a Little Colorado Medical Center",1000,"06/21/2022","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","ARC Industries Inc. of Franklin County",22011,"06/17/2022","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","Help at Home ",800,"06/17/2022","","Paper/Films","IL","Healthcare Provider","Improper Disposal","No"
"current","Tosoh America, Inc.",880,"06/17/2022","","Email","OH","Health Plan","Hacking/IT Incident","No"
"current","City of Cincinnati Health Plan",9769,"06/16/2022","","Network Server","OH","Health Plan","Unauthorized Access/Disclosure","No"
"current","Liberty Healthcare Group ",2191,"06/16/2022","","Email","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Mason Tenders’ District Council Welfare Fund",13344,"06/16/2022","","Network Server","NY","Health Plan","Hacking/IT Incident","No"
"current","Baptist Medical Center",1608549,"06/15/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Resolute Health Hospital",54239,"06/15/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","DialAmerica Marketing, Inc.",19796,"06/12/2022","","Network Server","NJ","Business Associate","Hacking/IT Incident","Yes"
"current","MCG Health, LLC",793283,"06/10/2022","","Network Server","WA","Business Associate","Hacking/IT Incident","Yes"
"current","Bayshore Brightwaters Rescue Ambulance, Inc.",500,"06/10/2022","","Email","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Yuma Regional Medical Center",783145,"06/09/2022","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","90 Degree Benefits, Inc.",172450,"06/09/2022","","Network Server","WI","Business Associate","Hacking/IT Incident","Yes"
"current","Christiana Spine Center, PA",3500,"06/09/2022","","Network Server","DE","Healthcare Provider","Hacking/IT Incident","No"
"current","Southern Ohio Medical Center",1333,"06/08/2022","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Atrium Health at Home",6695,"06/07/2022","","Email","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Memorial Community Health, Inc.",1658,"06/06/2022","","Network Server","NE","Healthcare Provider","Hacking/IT Incident","No"
"current","Virginia Mason Medical Center ",1523,"05/31/2022","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Shields Health Care Group, Inc.",2000000,"05/27/2022","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","University of Chicago Medical Center",2568,"05/27/2022","","Email","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","BJC Health System",500,"05/27/2022","","Email","MO","Business Associate","Hacking/IT Incident","Yes"
"current","NLB Corporation",1943,"05/26/2022","","Network Server","MI","Health Plan","Hacking/IT Incident","No"
"current","Aon PLC",129682,"05/26/2022","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Comstar, LLC",68957,"05/26/2022","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Fred Hutchinson Cancer Center",500,"05/25/2022","","Email","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Moyes Eye Center, PC",38000,"05/25/2022","","Electronic Medical Record","MO","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Family Health Care, Inc",33619,"05/24/2022","","Network Server","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","Val Verde Regional Medical Center (“VVRMC”) ",86562,"05/24/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Allwell Behavioral Health Services",29972,"05/23/2022","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","Washington University School of Medicine",500,"05/23/2022","","Email","MO","Health Plan","Hacking/IT Incident","No"
"current","Alameda Health System",90000,"05/20/2022","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Partnership HealthPlan of California",854913,"05/18/2022","","Network Server","CA","Health Plan","Hacking/IT Incident","No"
"current","Bryan County Ambulance Authority",14273,"05/18/2022","","Network Server","OK","Healthcare Provider","Hacking/IT Incident","No"
"current","Northern Rockies Orthopaedics",6701,"05/17/2022","","Email","MT","Healthcare Provider","Hacking/IT Incident","No"
"current","Apria Healthcare LLC",1868831,"05/16/2022","","Email, Network Server","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division",2008,"05/13/2022","","Network Server","MD","Health Plan","Hacking/IT Incident","No"
"current","Parker-Hannifin Corporation Group Health Plans",119513,"05/13/2022","","Network Server","OH","Health Plan","Hacking/IT Incident","No"
"current","Schneck Medical Center ",92311,"05/13/2022","","Network Server","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Genetics & IVF Institute ",606,"05/11/2022","","Network Server","VA","Healthcare Provider","Hacking/IT Incident","No"
"current","McKenzie Health System",25318,"05/10/2022","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","NuLife Med, LLC",81244,"05/09/2022","","Network Server","NH","Healthcare Provider","Hacking/IT Incident","No"
"current","Mindpath Care Centers, North Carolina, PLLC ",1781,"05/06/2022","","Email","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","CareSource, Inc",959,"05/06/2022","","Laptop","OH","Health Plan","Unauthorized Access/Disclosure","Yes"
"current","Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy",1720,"05/06/2022","","Email","OH","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Optum, Inc. ",1584,"05/06/2022","","Paper/Films","MN","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","SAC Health System",149940,"05/05/2022","","Paper/Films","CA","Healthcare Provider","Theft","No"
"current","Greater Nashua Mental Health",1085,"05/04/2022","","Network Server","NH","Healthcare Provider","Hacking/IT Incident","No"
"current","Ad Astra Eye LLC",3684,"04/29/2022","","Electronic Medical Record","KS","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Refuah Health Center",260740,"04/29/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Frank Eye Center, P.A.",26333,"04/29/2022","","Electronic Medical Record","KS","Healthcare Provider","Hacking/IT Incident","Yes"
